DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Year
2021-01-04,TOTL,Total Kenya Ltd,21,29,24,24,24,24,-,-,"5,000",-,2021
2021-01-04,UMME,Umeme Ltd,5.86,8.6,7.28,7.3,7.3,7.28,0.02,0.27%,"1,800",-,2021
2021-01-04,BRIT,Britam Holdings Plc,5.7,10.65,7,7.26,7,7.26,-0.26,3.58%,"510,400",-,2021
2021-01-04,CIC,CIC Insurance Group Ltd,1.95,3.18,2.1,2.15,2.11,2.13,-0.02,0.94%,"40,100",-,2021
2021-01-04,JUB,Jubilee Holdings Ltd,210,360.25,272.25,285,275.75,284,-8.25,2.90%,"3,900",-,2021
2021-01-04,KNRE,Kenya Re-Insurance Corporation Ltd,2,3.3,2.3,2.4,2.31,2.32,-0.01,0.43%,"160,400",-,2021
2021-01-04,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,7.7,7.7,7.7,7.7,-,-,-,-,2021
2021-01-04,SLAM,Sanlam Kenya Plc,11,18.8,13,13,13,12.95,0.05,0.39%,"4,300",-,2021
2021-01-04,CTUM,Centum Investment Company Plc,15.15,30,16.2,16.5,16.45,16.05,0.4,2.49%,"36,700",-,2021
2021-01-04,HAFR,Home Afrika Ltd,0.3,0.63,0.41,0.44,0.42,0.42,-,-,"24,000",-,2021
2021-01-04,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-,2021
2021-01-04,OCH,Olympia Capital Holdings Ltd,1.82,2.6,2.2,2.2,2.2,2.2,-,-,100,-,2021
2021-01-04,TCL,Trans-Century Plc,1.1,2.7,1.45,1.49,1.48,1.45,0.03,2.07%,"30,000",-,2021
2021-01-04,NSE,Nairobi Securities Exchange Plc,6.5,13,8.26,8.4,8.3,8.16,0.14,1.72%,"5,500",-,2021
2021-01-04,BOC,BOC Kenya Plc,53,72,63,63,63,63,-,-,-,-,2021
2021-01-04,BAT,British American Tobacco Kenya Plc,305,505,361,361,361,361,-,-,-,-,2021
2021-01-04,CARB,Carbacid Investments Plc,7.2,13,12.05,12.3,12.1,12.1,-,-,"126,200",-,2021
2021-01-04,EABL,East African Breweries Ltd,135,222.25,154,156,154,154.25,-0.25,0.16%,"168,800",-,2021
2021-01-04,FTGH,Flame Tree Group Holdings Ltd,0.76,2.45,1.21,1.23,1.23,1.23,-,-,"2,900",-,2021
2021-01-04,ORCH,Kenya Orchards Ltd,10.5,12.5,10.5,10.5,10.5,10.5,-,-,-,-,2021
2021-01-04,UNGA,Unga Group Ltd,26.1,35,31.8,31.8,31.8,31.8,-,-,-,-,2021
2021-01-04,SCOM,Safaricom Plc,23.5,35,34,34.5,34.25,34.25,-,-,"3,591,000",-,2021
2021-01-04,FAHR,Stanlib Fahari Income-REIT,4.98,10,5.64,6.08,5.84,5.64,0.2,3.55%,"9,000",-,2021
2021-01-04,GLD,ABSA NewGold ETF,"1,470.00","2,100.00","1,975.00","1,975.00","1,975.00","1,975.00",-,-,-,-,2021
2021-01-04,^FNK15,FTSE NSE Kenya 15 Index,152.56,227.73,177.47,179.97,177.94,178.15,-0.21,0.12%,-,-,2021
2021-01-04,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,196.9,198.69,197.7,197.58,0.12,0.06%,-,-,2021
2021-01-04,^N20I,NSE 20-Share Index,"1,723.96","2,706.38","1,872.42","1,872.42","1,872.42","1,868.39",4.03,0.22%,-,-,2021
2021-01-04,^N25I,NSE 25-Share Index,"2,935.01","4,207.90","3,410.11","3,410.11","3,410.11","3,415.24",-5.13,0.15%,-,-,2021
2021-01-04,^NASI,NSE All-Share Index,124.3,171.36,152.04,152.04,152.04,152.11,-0.07,0.05%,-,-,2021
2021-01-04,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,511.03","2,242.89","1,781.47","1,781.47","1,781.47","1,781.30",0.17,0.01%,-,-,2021
2021-01-04,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,201.29","1,905.40","1,403.33","1,403.33","1,403.33","1,404.48",-1.15,0.08%,-,-,2021
2021-01-05,EGAD,Eaagads Ltd,8.2,14,12.5,12.5,12.5,12.5,-,-,-,-,2021
2021-01-05,KUKZ,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,2021
2021-01-05,KAPC,Kapchorua Tea Kenya Plc,59,90,78,78,78,78,-,-,-,-,2021
2021-01-05,LIMT,Limuru Tea Plc,360,475,360,360,360,360,-,-,-,-,2021
2021-01-05,SASN,Sasini Plc,14.8,20,19.5,19.5,19.5,19.5,-,-,100,-,2021
2021-01-05,WTK,Williamson Tea Kenya Plc,92,150,130,130,130,129.75,0.25,0.19%,100,-,2021
2021-01-05,CGEN,Car and General (K) Ltd,20,26,22.5,22.5,22.5,22,0.5,2.27%,100,-,2021
2021-01-05,ABSA,ABSA Bank Kenya Plc,8.5,14.2,9.44,9.7,9.44,9.52,-0.08,0.84%,"1,923,300",-,2021
2021-01-05,BKG,BK Group Plc,12.15,28,20.5,20.5,20.5,20.5,-,-,-,-,2021
2021-01-05,COOP,Co-operative Bank of Kenya Ltd,10.2,17,12.35,12.95,12.5,12.55,-0.05,0.40%,"425,500",-,2021
2021-01-05,DTK,Diamond Trust Bank Kenya Ltd,58.5,125,76,77,76.25,76.75,-0.5,0.65%,"10,200",-,2021
2021-01-05,EQTY,Equity Group Holdings Plc,28,55.25,35.95,36.5,36.05,36.25,-0.2,0.55%,"879,200",-,2021
2021-01-05,HFCK,HF Group Ltd,2.86,6.98,3.14,3.45,3.3,3.14,0.16,5.10%,"53,500",-,2021
2021-01-05,IMH,I & M Holdings Plc,42.5,59,43.5,43.9,43.5,44.85,-1.35,3.01%,"107,900",-,2021
2021-01-05,KCB,KCB Group Plc,30,55.5,38.35,38.95,38.5,38.4,0.1,0.26%,"70,000",-,2021
2021-01-05,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-,2021
2021-01-05,NCBA,NCBA Group Plc,20,34.41,25.45,27,25.75,26.6,-0.85,3.20%,"67,900",-,2021
2021-01-05,SBIC,Stanbic Holdings Plc,72.25,118.5,85,85,85,85,-,-,-,-,2021
2021-01-05,SCBK,Standard Chartered Bank Kenya Ltd,138.5,215,144,145,144.5,144.5,-,-,"10,100",-,2021
2021-01-05,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-,2021
2021-01-05,EVRD,Eveready East Africa Ltd,0.75,1.5,1.2,1.26,1.23,1.27,-0.04,3.15%,"14,000",-,2021
2021-01-05,XPRS,Express Kenya Plc,2.5,6.84,3.61,3.61,3.61,3.61,-,-,-,-,2021
2021-01-05,KQ,Kenya Airways Plc,0.8,3.96,3.83,3.83,3.83,3.83,-,-,-,-,2021
2021-01-05,LKL,Longhorn Publishers Plc,4.21,6.8,4.75,4.75,4.75,4.87,-0.12,2.46%,"2,600",-,2021
2021-01-05,NBV,Nairobi Business Ventures Ltd,0.49,6,4.19,4.5,4.48,4.65,-0.17,3.66%,"45,300",-,2021
2021-01-05,NMG,Nation Media Group Plc,9,39.75,15,15.45,15.1,15.3,-0.2,1.31%,"33,300",-,2021
2021-01-05,SMER,Sameer Africa Plc,1.91,4.62,3.25,3.25,3.25,3.25,-,-,200,-,2021
2021-01-05,SGL,Standard Group Plc,18,27,22.5,22.5,22.5,22.5,-,-,-,-,2021
2021-01-05,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,19,16,16,16,16,-,-,-,-,2021
2021-01-05,UCHM,Uchumi Supermarket Plc,0.23,0.4,0.28,0.29,0.28,0.28,-,-,"45,800",-,2021
2021-01-05,SCAN,WPP ScanGroup Plc,5.8,25,5.9,6,6,6,-,-,"65,000",-,2021
2021-01-05,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-,2021
2021-01-05,BAMB,Bamburi Cement Ltd,19.05,80,38,39,38.2,39.95,-1.75,4.38%,"49,000",-,2021
2021-01-05,CRWN,Crown Paints Kenya Plc,36,68,38,38,38,38,-,-,-,-,2021
2021-01-05,CABL,East African Cables Ltd,1.26,2.8,1.4,1.45,1.45,1.4,0.05,3.57%,"59,800",-,2021
2021-01-05,PORT,East African Portland Cement Ltd,10,16,11,11,11,11,-,-,-,-,2021
2021-01-05,KEGN,Kenya Electricity Generating Company Plc,4,6.28,4.67,4.85,4.76,4.67,0.09,1.93%,"68,800",-,2021
2021-01-05,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-,2021
2021-01-05,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-,2021
2021-01-05,KPLC,Kenya Power and Lighting Company Plc,1.16,3.23,1.69,1.74,1.71,1.71,-,-,"905,700",-,2021
2021-01-05,TOTL,Total Kenya Ltd,21,29,24,24.5,24.4,24,0.4,1.67%,"2,600",-,2021
2021-01-05,UMME,Umeme Ltd,5.86,8.6,7.28,7.3,7.28,7.3,-0.02,0.27%,"6,200",-,2021
2021-01-05,BRIT,Britam Holdings Plc,5.7,10.65,7,7.5,7.12,7,0.12,1.71%,"9,500",-,2021
2021-01-05,CIC,CIC Insurance Group Ltd,1.95,3.18,2.11,2.2,2.16,2.11,0.05,2.37%,"97,500",-,2021
2021-01-05,JUB,Jubilee Holdings Ltd,210,360.25,285,285,285,275.75,9.25,3.35%,"1,200",-,2021
2021-01-05,KNRE,Kenya Re-Insurance Corporation Ltd,2,3.3,2.31,2.4,2.33,2.31,0.02,0.87%,"120,900",-,2021
2021-01-05,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,7.5,7.6,7.5,7.7,-0.2,2.60%,"6,200",-,2021
2021-01-05,SLAM,Sanlam Kenya Plc,11,18.8,13,13,13,13,-,-,-,-,2021
2021-01-05,CTUM,Centum Investment Company Plc,15.15,30,16.45,17.5,17.1,16.45,0.65,3.95%,"16,900",-,2021
2021-01-05,HAFR,Home Afrika Ltd,0.3,0.63,0.4,0.44,0.41,0.42,-0.01,2.38%,"17,700",-,2021
2021-01-05,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-,2021
2021-01-05,OCH,Olympia Capital Holdings Ltd,1.82,2.6,2.2,2.2,2.2,2.2,-,-,200,-,2021
2021-01-05,TCL,Trans-Century Plc,1.1,2.7,1.49,1.5,1.5,1.48,0.02,1.35%,900,-,2021
2021-01-05,NSE,Nairobi Securities Exchange Plc,6.5,13,8.16,8.4,8.4,8.3,0.1,1.20%,"7,500",-,2021
2021-01-05,BOC,BOC Kenya Plc,53,72,63,63,63,63,-,-,-,-,2021
2021-01-05,BAT,British American Tobacco Kenya Plc,305,505,385,385,385,361,24,6.65%,"113,200",-,2021
2021-01-05,CARB,Carbacid Investments Plc,7.2,13,12.1,12.4,12.25,12.1,0.15,1.24%,"66,400",-,2021
2021-01-05,EABL,East African Breweries Ltd,135,222.25,154,158,155,154,1,0.65%,"6,200",-,2021
2021-01-05,FTGH,Flame Tree Group Holdings Ltd,0.76,2.45,1.25,1.3,1.25,1.23,0.02,1.63%,"1,100",-,2021
2021-01-05,ORCH,Kenya Orchards Ltd,10.5,12.5,10.5,10.5,10.5,10.5,-,-,-,-,2021
2021-01-05,UNGA,Unga Group Ltd,26.1,35,31.8,31.8,31.8,31.8,-,-,-,-,2021
2021-01-05,SCOM,Safaricom Plc,23.5,35.05,34.1,35,34.4,34.25,0.15,0.44%,"7,743,600",-,2021
2021-01-05,FAHR,Stanlib Fahari Income-REIT,4.98,10,5.6,6.4,5.68,5.84,-0.16,2.74%,"48,100",-,2021
2021-01-05,GLD,ABSA NewGold ETF,"1,470.00","2,100.00","1,975.00","1,975.00","1,975.00","1,975.00",-,-,-,-,2021
2021-01-05,^FNK15,FTSE NSE Kenya 15 Index,152.56,227.73,177.68,179.1,177.98,177.94,0.04,0.02%,-,-,2021
2021-01-05,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,197.19,200.11,198.26,197.7,0.56,0.28%,-,-,2021
2021-01-05,^N20I,NSE 20-Share Index,"1,723.96","2,706.38","1,877.89","1,877.89","1,877.89","1,872.42",5.47,0.29%,-,-,2021
2021-01-05,^N25I,NSE 25-Share Index,"2,935.01","4,207.90","3,412.13","3,412.13","3,412.13","3,410.11",2.02,0.06%,-,-,2021
2021-01-05,^NASI,NSE All-Share Index,124.3,171.36,152.49,152.49,152.49,152.04,0.45,0.30%,-,-,2021
2021-01-05,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,511.03","2,242.89","1,785.74","1,785.74","1,785.74","1,781.47",4.27,0.24%,-,-,2021
2021-01-05,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,201.29","1,905.40","1,405.41","1,405.41","1,405.41","1,403.33",2.08,0.15%,-,-,2021
2021-01-06,EGAD,Eaagads Ltd,8.2,14,12.5,12.5,12.5,12.5,-,-,-,-,2021
2021-01-06,KUKZ,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,2021
2021-01-06,KAPC,Kapchorua Tea Kenya Plc,59,90,78,78,78,78,-,-,-,-,2021
2021-01-06,LIMT,Limuru Tea Plc,360,475,360,360,360,360,-,-,-,-,2021
2021-01-06,SASN,Sasini Plc,14.8,20,18.9,19.5,18.95,19.5,-0.55,2.82%,"10,500",-,2021
2021-01-06,WTK,Williamson Tea Kenya Plc,92,150,127.5,130,128.25,130,-1.75,1.35%,"1,000",-,2021
2021-01-06,CGEN,Car and General (K) Ltd,20,26,24,24,24,22.5,1.5,6.67%,100,-,2021
2021-01-06,ABSA,ABSA Bank Kenya Plc,8.5,14.2,9.4,9.68,9.44,9.44,-,-,"233,400",-,2021
2021-01-06,BKG,BK Group Plc,12.15,28,20.5,20.5,20.5,20.5,-,-,-,-,2021
2021-01-06,COOP,Co-operative Bank of Kenya Ltd,10.2,17,12.5,12.8,12.6,12.5,0.1,0.80%,"117,100",-,2021
2021-01-06,DTK,Diamond Trust Bank Kenya Ltd,58.5,125,76,77,76.75,76.25,0.5,0.66%,"8,600",-,2021
2021-01-06,EQTY,Equity Group Holdings Plc,28,55.25,35.75,36.15,36,36.05,-0.05,0.14%,"4,349,400",-,2021
2021-01-06,HFCK,HF Group Ltd,2.86,6.5,3.18,3.6,3.38,3.3,0.08,2.42%,"26,500",-,2021
2021-01-06,IMH,I & M Holdings Plc,42.5,59,45,45,45,43.5,1.5,3.45%,"64,000",-,2021
2021-01-06,KCB,KCB Group Plc,30,55.5,38,38.95,38.5,38.5,-,-,"2,287,900",-,2021
2021-01-06,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-,2021
2021-01-06,NCBA,NCBA Group Plc,20,33.64,25,25.7,25.05,25.75,-0.7,2.72%,"89,600",-,2021
2021-01-06,SBIC,Stanbic Holdings Plc,72.25,118.5,79,85,80.25,85,-4.75,5.59%,"1,600",-,2021
2021-01-06,SCBK,Standard Chartered Bank Kenya Ltd,135,215,138.5,145,141.25,144.5,-3.25,2.25%,"161,100",-,2021
2021-01-06,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-,2021
2021-01-06,EVRD,Eveready East Africa Ltd,0.75,1.5,1.18,1.2,1.18,1.23,-0.05,4.07%,"10,000",-,2021
2021-01-06,XPRS,Express Kenya Plc,2.5,6.84,3.5,3.61,3.51,3.61,-0.1,2.77%,"1,900",-,2021
2021-01-06,KQ,Kenya Airways Plc,0.8,3.96,3.83,3.83,3.83,3.83,-,-,-,-,2021
2021-01-06,LKL,Longhorn Publishers Plc,4.21,6.8,4.7,4.87,4.71,4.75,-0.04,0.84%,"2,700",-,2021
2021-01-06,NBV,Nairobi Business Ventures Ltd,0.49,6,4.04,4.9,4.65,4.48,0.17,3.79%,"163,700",-,2021
2021-01-06,NMG,Nation Media Group Plc,9,39.75,15.15,15.7,15.45,15.1,0.35,2.32%,"26,400",-,2021
2021-01-06,SMER,Sameer Africa Plc,1.91,4.62,2.95,3.57,3.44,3.25,0.19,5.85%,"13,200",-,2021
2021-01-06,SGL,Standard Group Plc,18,27,21,21,21,22.5,-1.5,6.67%,200,-,2021
2021-01-06,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,19,16,16,16,16,-,-,"2,200",-,2021
2021-01-06,UCHM,Uchumi Supermarket Plc,0.23,0.4,0.29,0.3,0.3,0.28,0.02,7.14%,"4,300",-,2021
2021-01-06,SCAN,WPP ScanGroup Plc,5.8,25,5.9,6.1,5.96,6,-0.04,0.67%,"105,900",-,2021
2021-01-06,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-,2021
2021-01-06,BAMB,Bamburi Cement Ltd,19.05,79.75,38,39,38.5,38.2,0.3,0.79%,"62,300",-,2021
2021-01-06,CRWN,Crown Paints Kenya Plc,36,68,38,38,38,38,-,-,-,-,2021
2021-01-06,CABL,East African Cables Ltd,1.26,2.8,1.44,1.46,1.45,1.45,-,-,"5,100",-,2021
2021-01-06,PORT,East African Portland Cement Ltd,10,16,11,11,11,11,-,-,-,-,2021
2021-01-06,KEGN,Kenya Electricity Generating Company Plc,4,6.28,4.5,4.8,4.55,4.76,-0.21,4.41%,"245,100",-,2021
2021-01-06,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-,2021
2021-01-06,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-,2021
2021-01-06,KPLC,Kenya Power and Lighting Company Plc,1.16,3.2,1.7,1.75,1.71,1.71,-,-,"670,400",-,2021
2021-01-06,TOTL,Total Kenya Ltd,21,29,24.4,24.4,24.4,24.4,-,-,-,-,2021
2021-01-06,UMME,Umeme Ltd,5.86,8.6,7.28,7.4,7.28,7.28,-,-,"7,600",-,2021
2021-01-06,BRIT,Britam Holdings Plc,5.7,10.65,7,7.5,7,7.12,-0.12,1.69%,"3,907,100",-,2021
2021-01-06,CIC,CIC Insurance Group Ltd,1.95,3.18,2.1,2.2,2.12,2.16,-0.04,1.85%,"17,000",-,2021
2021-01-06,JUB,Jubilee Holdings Ltd,210,360.25,285,292,290,285,5,1.75%,"14,800",-,2021
2021-01-06,KNRE,Kenya Re-Insurance Corporation Ltd,2,3.21,2.33,2.4,2.39,2.33,0.06,2.58%,"318,200",-,2021
2021-01-06,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,7,7.5,7.4,7.5,-0.1,1.33%,"18,900",-,2021
2021-01-06,SLAM,Sanlam Kenya Plc,11,18.8,12,12,12,13,-1,7.69%,"3,000",-,2021
2021-01-06,CTUM,Centum Investment Company Plc,15.15,30,16.5,17.25,17.05,17.1,-0.05,0.29%,"53,700",-,2021
2021-01-06,HAFR,Home Afrika Ltd,0.3,0.63,0.4,0.43,0.4,0.41,-0.01,2.44%,"54,200",-,2021
2021-01-06,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-,2021
2021-01-06,OCH,Olympia Capital Holdings Ltd,1.82,2.6,2,2.4,2.06,2.2,-0.14,6.36%,"2,500",-,2021
2021-01-06,TCL,Trans-Century Plc,1.1,2.7,1.5,1.55,1.51,1.5,0.01,0.67%,"35,400",-,2021
2021-01-06,NSE,Nairobi Securities Exchange Plc,6.5,12.5,8.24,8.4,8.38,8.4,-0.02,0.24%,"9,100",-,2021
2021-01-06,BOC,BOC Kenya Plc,53,72,63,63,63,63,-,-,-,-,2021
2021-01-06,BAT,British American Tobacco Kenya Plc,305,505,385,385,385,385,-,-,400,-,2021
2021-01-06,CARB,Carbacid Investments Plc,7.2,13,12.1,12.4,12.15,12.25,-0.1,0.82%,"18,500",-,2021
2021-01-06,EABL,East African Breweries Ltd,135,222.25,154,160,155.5,155,0.5,0.32%,"8,400",-,2021
2021-01-06,FTGH,Flame Tree Group Holdings Ltd,0.76,2.45,1.25,1.34,1.33,1.25,0.08,6.40%,"2,200",-,2021
2021-01-06,ORCH,Kenya Orchards Ltd,10.5,12.5,10.5,10.5,10.5,10.5,-,-,-,-,2021
2021-01-06,UNGA,Unga Group Ltd,26.1,35,31.8,31.8,31.8,31.8,-,-,-,-,2021
2021-01-06,SCOM,Safaricom Plc,23.5,35.05,34.5,35.05,35,34.4,0.6,1.74%,"7,923,000",-,2021
2021-01-06,FAHR,Stanlib Fahari Income-REIT,4.98,10,5.56,6.24,6.22,5.68,0.54,9.51%,"21,900",-,2021
2021-01-06,GLD,ABSA NewGold ETF,"1,470.00","2,100.00","1,975.00","1,975.00","1,975.00","1,975.00",-,-,-,-,2021
2021-01-06,^FNK15,FTSE NSE Kenya 15 Index,152.56,227.73,177.5,179.56,178.29,177.98,0.31,0.17%,-,-,2021
2021-01-06,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,198.21,200.47,199.7,198.26,1.44,0.73%,-,-,2021
2021-01-06,^N20I,NSE 20-Share Index,"1,723.96","2,701.04","1,869.26","1,869.26","1,869.26","1,877.89",-8.63,0.46%,-,-,2021
2021-01-06,^N25I,NSE 25-Share Index,"2,935.01","4,207.90","3,428.83","3,428.83","3,428.83","3,412.13",16.7,0.49%,-,-,2021
2021-01-06,^NASI,NSE All-Share Index,124.3,171.36,153.82,153.82,153.82,152.49,1.33,0.87%,-,-,2021
2021-01-06,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,511.03","2,242.89","1,790.36","1,790.36","1,790.36","1,785.74",4.62,0.26%,-,-,2021
2021-01-06,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,201.29","1,905.40","1,407.76","1,407.76","1,407.76","1,405.41",2.35,0.17%,-,-,2021
2021-01-07,EGAD,Eaagads Ltd,8.2,14,13.5,13.5,13.5,12.5,1,8.00%,100,-,2021
2021-01-07,KUKZ,Kakuzi Plc,300,397,365,365,365,365,-,-,-,-,2021
2021-01-07,KAPC,Kapchorua Tea Kenya Plc,59,90,78,78,78,78,-,-,100,-,2021
2021-01-07,LIMT,Limuru Tea Plc,360,475,360,360,360,360,-,-,-,-,2021
2021-01-07,SASN,Sasini Plc,14.8,20,18.95,18.95,18.95,18.95,-,-,-,-,2021
2021-01-07,WTK,Williamson Tea Kenya Plc,92,150,128,128,128,128.25,-0.25,0.19%,100,-,2021
2021-01-07,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,-,2021
2021-01-07,ABSA,ABSA Bank Kenya Plc,8.5,14.2,9.36,9.46,9.4,9.44,-0.04,0.42%,"194,700",-,2021
2021-01-07,BKG,BK Group Plc,12.15,28,20.5,20.5,20.5,20.5,-,-,-,-,2021
2021-01-07,COOP,Co-operative Bank of Kenya Ltd,10.2,17,12.6,13,12.85,12.6,0.25,1.98%,"59,900",-,2021
2021-01-07,DTK,Diamond Trust Bank Kenya Ltd,58.5,125,76,78,76.75,76.75,-,-,"6,100",-,2021
2021-01-07,EQTY,Equity Group Holdings Plc,28,55.25,36,36.25,36,36,-,-,"897,100",-,2021
